Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1,1.0000,1.0000,1.0000,1.0000,8
single table single row,2,1.0000,1.0000,1.0000,1.0000,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,8
single table single row,4,1.0000,1.0000,1.0000,1.0000,8
single table single row,5,1.0000,1.0000,1.0000,1.0000,8
two tables single join,1,0.3636,0.3333,0.3478,0.3333,12
two tables single join,2,0.3750,0.5000,0.4286,0.5000,12
two tables single join,3,0.3750,0.5000,0.4286,0.5000,12
two tables single join,4,0.4667,0.5833,0.5185,0.5833,12
two tables single join,5,0.5333,0.6667,0.5926,0.6667,12
three tables two join,1,0.5000,0.2857,0.3636,0.2000,10
three tables two join,2,0.5000,0.4286,0.4615,0.2000,10
three tables two join,3,0.5000,0.5000,0.5000,0.2000,10
three tables two join,4,0.5385,0.5000,0.5185,0.2000,10
three tables two join,5,0.5000,0.5714,0.5333,0.3000,10
two tables single join multiple rows,1,0.9355,0.8286,0.8788,0.5000,8
two tables single join multiple rows,2,0.8889,0.9143,0.9014,0.7500,8
two tables single join multiple rows,3,0.9706,0.9429,0.9565,0.7500,8
two tables single join multiple rows,4,0.9394,0.8857,0.9118,0.6250,8
two tables single join multiple rows,5,0.9714,0.9714,0.9714,0.7500,8
single table multiple rows,1,0.9655,0.9333,0.9492,0.8182,11
single table multiple rows,2,1.0000,0.9667,0.9831,0.9091,11
single table multiple rows,3,1.0000,0.9333,0.9655,0.8182,11
single table multiple rows,4,1.0000,0.9667,0.9831,0.9091,11
single table multiple rows,5,1.0000,0.9333,0.9655,0.8182,11
