Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1,1.0000,1.0000,1.0000,1.0000,8
single table single row,2,1.0000,1.0000,1.0000,1.0000,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,8
single table single row,4,1.0000,1.0000,1.0000,1.0000,8
single table single row,5,1.0000,1.0000,1.0000,1.0000,8
two tables single join,1,0.3636,0.3333,0.3478,0.3333,12
two tables single join,2,0.4167,0.4167,0.4167,0.4167,12
two tables single join,3,0.3636,0.3333,0.3478,0.3333,12
two tables single join,4,0.5000,0.5000,0.5000,0.5000,12
two tables single join,5,0.4167,0.4167,0.4167,0.4167,12
three tables two join,1,0.4000,0.2857,0.3333,0.2000,10
three tables two join,2,0.4000,0.2857,0.3333,0.2000,10
three tables two join,3,0.3750,0.2143,0.2727,0.1000,10
three tables two join,4,0.3333,0.2143,0.2609,0.1000,10
three tables two join,5,0.4000,0.2857,0.3333,0.2000,10
two tables single join multiple rows,1,0.8667,0.7429,0.8000,0.3750,8
two tables single join multiple rows,2,0.6667,0.6857,0.6761,0.2500,8
two tables single join multiple rows,3,0.7429,0.7429,0.7429,0.2500,8
two tables single join multiple rows,4,0.7429,0.7429,0.7429,0.2500,8
two tables single join multiple rows,5,0.7429,0.7429,0.7429,0.2500,8
single table multiple rows,1,0.9583,0.7667,0.8519,0.6364,11
single table multiple rows,2,0.9231,0.8000,0.8571,0.6364,11
single table multiple rows,3,0.9615,0.8333,0.8929,0.6364,11
single table multiple rows,4,1.0000,0.8333,0.9091,0.7273,11
single table multiple rows,5,1.0000,0.8333,0.9091,0.7273,11
