Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1,0.8889,0.8889,0.8889,0.8750,8
single table single row,2,0.8889,0.8889,0.8889,0.8750,8
single table single row,3,0.8889,0.8889,0.8889,0.8750,8
single table single row,4,0.8889,0.8889,0.8889,0.8750,8
single table single row,5,0.8889,0.8889,0.8889,0.8750,8
two tables single join,1,0.5000,0.5833,0.5385,0.5833,12
two tables single join,2,0.5000,0.5833,0.5385,0.5833,12
two tables single join,3,0.5000,0.5833,0.5385,0.5833,12
two tables single join,4,0.5000,0.5833,0.5385,0.5833,12
two tables single join,5,0.5000,0.5833,0.5385,0.5833,12
three tables two join,1,0.9167,0.7857,0.8462,0.7000,10
three tables two join,2,1.0000,0.8571,0.9231,0.8000,10
three tables two join,3,1.0000,0.8571,0.9231,0.8000,10
three tables two join,4,1.0000,0.8571,0.9231,0.8000,10
three tables two join,5,1.0000,0.8571,0.9231,0.8000,10
two tables single join multiple rows,1,0.9355,0.8286,0.8788,0.3750,8
two tables single join multiple rows,2,0.9355,0.8286,0.8788,0.3750,8
two tables single join multiple rows,3,0.9355,0.8286,0.8788,0.3750,8
two tables single join multiple rows,4,0.9355,0.8286,0.8788,0.3750,8
two tables single join multiple rows,5,0.9355,0.8286,0.8788,0.3750,8
single table multiple rows,1,0.7143,0.6667,0.6897,0.7273,11
single table multiple rows,2,0.7143,0.6667,0.6897,0.7273,11
single table multiple rows,3,0.7143,0.6667,0.6897,0.7273,11
single table multiple rows,4,0.7143,0.6667,0.6897,0.7273,11
single table multiple rows,5,0.7143,0.6667,0.6897,0.7273,11
