Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1,1.0000,0.5556,0.7143,0.5000,8
single table single row,2,1.0000,0.6667,0.8000,0.6250,8
single table single row,3,1.0000,0.6667,0.8000,0.6250,8
single table single row,4,1.0000,0.6667,0.8000,0.6250,8
single table single row,5,1.0000,0.6667,0.8000,0.6250,8
two tables single join,1,0.5455,0.5000,0.5217,0.3333,12
two tables single join,2,0.6000,0.5000,0.5455,0.3333,12
two tables single join,3,0.6000,0.5000,0.5455,0.3333,12
two tables single join,4,0.6000,0.5000,0.5455,0.3333,12
two tables single join,5,0.6000,0.5000,0.5455,0.3333,12
three tables two join,1,0.7273,0.5714,0.6400,0.4000,10
three tables two join,2,0.7273,0.5714,0.6400,0.4000,10
three tables two join,3,0.7273,0.5714,0.6400,0.4000,10
three tables two join,4,0.7273,0.5714,0.6400,0.4000,10
three tables two join,5,0.7273,0.5714,0.6400,0.4000,10
two tables single join multiple rows,1,0.9524,0.5714,0.7143,0.3750,8
two tables single join multiple rows,2,1.0000,0.6286,0.7719,0.5000,8
two tables single join multiple rows,3,1.0000,0.6286,0.7719,0.5000,8
two tables single join multiple rows,4,1.0000,0.6286,0.7719,0.5000,8
two tables single join multiple rows,5,1.0000,0.6286,0.7719,0.5000,8
single table multiple rows,1,1.0000,0.6333,0.7755,0.4545,11
single table multiple rows,2,1.0000,0.7000,0.8235,0.4545,11
single table multiple rows,3,1.0000,0.7000,0.8235,0.4545,11
single table multiple rows,4,1.0000,0.7000,0.8235,0.4545,11
single table multiple rows,5,1.0000,0.7000,0.8235,0.4545,11
