Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1,0.7778,0.7778,0.7778,0.7500,8
single table single row,2,1.0000,0.7778,0.8750,0.7500,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,8
single table single row,4,1.0000,0.7778,0.8750,0.7500,8
single table single row,5,1.0000,1.0000,1.0000,1.0000,8
two tables single join,1,0.4000,0.3333,0.3636,0.2500,12
two tables single join,2,0.2727,0.2500,0.2609,0.2500,12
two tables single join,3,0.4167,0.4167,0.4167,0.4167,12
two tables single join,4,0.4167,0.4167,0.4167,0.4167,12
two tables single join,5,0.4167,0.4167,0.4167,0.4167,12
three tables two join,1,0.2000,0.0714,0.1053,0.1000,10
three tables two join,2,0.1667,0.0714,0.1000,0.1000,10
three tables two join,3,0.1429,0.0714,0.0952,0.1000,10
three tables two join,4,0.1429,0.0714,0.0952,0.1000,10
three tables two join,5,0.1429,0.0714,0.0952,0.1000,10
two tables single join multiple rows,1,0.7000,0.4000,0.5091,0.1250,8
two tables single join multiple rows,2,0.6579,0.7143,0.6849,0.1250,8
two tables single join multiple rows,3,0.6842,0.7429,0.7123,0.2500,8
two tables single join multiple rows,4,0.7027,0.7429,0.7222,0.2500,8
two tables single join multiple rows,5,0.7027,0.7429,0.7222,0.2500,8
single table multiple rows,1,0.6452,0.6667,0.6557,0.2727,11
single table multiple rows,2,0.7895,0.5000,0.6122,0.3636,11
single table multiple rows,3,0.8519,0.7667,0.8070,0.4545,11
single table multiple rows,4,0.8621,0.8333,0.8475,0.5455,11
single table multiple rows,5,0.8182,0.6000,0.6923,0.5455,11
