Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1,0.7778,0.7778,0.7778,0.7500,8
single table single row,2,1.0000,1.0000,1.0000,1.0000,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,8
single table single row,4,0.6000,0.6667,0.6316,0.6250,8
single table single row,5,0.2222,0.2222,0.2222,0.2500,8
two tables single join,1,0.2222,0.1667,0.1905,0.1667,12
two tables single join,2,0.4545,0.4167,0.4348,0.4167,12
two tables single join,3,0.4615,0.5000,0.4800,0.5000,12
two tables single join,4,0.2727,0.2500,0.2609,0.2500,12
two tables single join,5,0.0000,0.0000,0.0000,0.0000,12
three tables two join,1,0.2222,0.1429,0.1739,0.1000,10
three tables two join,2,0.2857,0.1429,0.1905,0.1000,10
three tables two join,3,0.2857,0.1429,0.1905,0.1000,10
three tables two join,4,0.0714,0.0714,0.0714,0.1000,10
three tables two join,5,0.1200,0.2143,0.1538,0.0000,10
two tables single join multiple rows,1,0.7391,0.4857,0.5862,0.1250,8
two tables single join multiple rows,2,0.9375,0.8571,0.8955,0.5000,8
two tables single join multiple rows,3,0.9355,0.8286,0.8788,0.5000,8
two tables single join multiple rows,4,0.4737,0.2571,0.3333,0.1250,8
two tables single join multiple rows,5,0.1538,0.0571,0.0833,0.0000,8
single table multiple rows,1,0.9600,0.8000,0.8727,0.5455,11
single table multiple rows,2,0.9643,0.9000,0.9310,0.7273,11
single table multiple rows,3,0.8333,0.8333,0.8333,0.7273,11
single table multiple rows,4,0.5500,0.3667,0.4400,0.3636,11
single table multiple rows,5,0.4286,0.3000,0.3529,0.1818,11
