Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8
single table single row,2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8
single table single row,4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8
single table single row,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8
two tables single join,1,0.5000,0.3333,0.4000,0.2500,0.0000,0.0000,0.0000,0.0000,12
two tables single join,2,0.3750,0.2500,0.3000,0.0833,0.0000,0.0000,0.0000,0.0000,12
two tables single join,3,0.2500,0.1667,0.2000,0.0833,0.0000,0.0000,0.0000,0.0000,12
two tables single join,4,0.3750,0.2500,0.3000,0.1667,0.1250,0.0833,0.1000,0.0833,12
two tables single join,5,0.3750,0.2500,0.3000,0.1667,0.1111,0.0833,0.0952,0.0000,12
three tables two join,1,0.4000,0.1429,0.2105,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.4000,0.1429,0.2105,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.4000,0.1429,0.2105,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,4,0.4000,0.1429,0.2105,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,5,0.4000,0.1429,0.2105,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.9259,0.7143,0.8065,0.2500,0.2963,0.2286,0.2581,0.0000,8
two tables single join multiple rows,2,0.9333,0.8000,0.8615,0.3750,0.3333,0.2857,0.3077,0.1250,8
two tables single join multiple rows,3,0.9310,0.7714,0.8438,0.2500,0.3704,0.2857,0.3226,0.1250,8
two tables single join multiple rows,4,0.9310,0.7714,0.8438,0.3750,0.3571,0.2857,0.3175,0.1250,8
two tables single join multiple rows,5,0.9310,0.7714,0.8438,0.2500,0.3571,0.2857,0.3175,0.1250,8
single table multiple rows,1,0.9259,0.8333,0.8772,0.7273,0.9259,0.8333,0.8772,0.4545,11
single table multiple rows,2,1.0000,0.8667,0.9286,0.7273,0.9615,0.8333,0.8929,0.4545,11
single table multiple rows,3,1.0000,0.8667,0.9286,0.7273,0.9259,0.8333,0.8772,0.4545,11
single table multiple rows,4,1.0000,0.9000,0.9474,0.8182,0.9259,0.8333,0.8772,0.4545,11
single table multiple rows,5,1.0000,0.8667,0.9286,0.7273,0.9615,0.8333,0.8929,0.4545,11
