Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8
single table single row,2,1.0000,1.0000,1.0000,1.0000,0.7778,0.7778,0.7778,0.7500,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,0.7778,0.7778,0.7778,0.7500,8
single table single row,4,1.0000,1.0000,1.0000,1.0000,0.7778,0.7778,0.7778,0.7500,8
single table single row,5,1.0000,1.0000,1.0000,1.0000,0.7778,0.7778,0.7778,0.7500,8
two tables single join,1,0.3077,0.3333,0.3200,0.3333,0.0000,0.0000,0.0000,0.0000,12
two tables single join,2,0.2308,0.2500,0.2400,0.2500,0.0000,0.0000,0.0000,0.0000,12
two tables single join,3,0.2857,0.3333,0.3077,0.2500,0.0000,0.0000,0.0000,0.0000,12
two tables single join,4,0.2308,0.2500,0.2400,0.2500,0.0000,0.0000,0.0000,0.0000,12
two tables single join,5,0.2857,0.3333,0.3077,0.2500,0.0000,0.0000,0.0000,0.0000,12
three tables two join,1,0.1667,0.1429,0.1538,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.2308,0.2143,0.2222,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.1667,0.1429,0.1538,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,4,0.2308,0.2143,0.2222,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,5,0.1667,0.1429,0.1538,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.7667,0.6571,0.7077,0.1250,0.0370,0.0286,0.0323,0.0000,8
two tables single join multiple rows,2,0.7143,0.5714,0.6349,0.1250,0.1154,0.0857,0.0984,0.0000,8
two tables single join multiple rows,3,0.6923,0.5143,0.5902,0.0000,0.1250,0.0857,0.1017,0.0000,8
two tables single join multiple rows,4,0.6923,0.5143,0.5902,0.0000,0.1250,0.0857,0.1017,0.0000,8
two tables single join multiple rows,5,0.6923,0.5143,0.5902,0.0000,0.1250,0.0857,0.1017,0.0000,8
single table multiple rows,1,0.8846,0.7667,0.8214,0.5455,0.9474,0.6000,0.7347,0.1818,11
single table multiple rows,2,0.9231,0.8000,0.8571,0.6364,0.7500,0.5000,0.6000,0.1818,11
single table multiple rows,3,0.9231,0.8000,0.8571,0.6364,0.6957,0.5333,0.6038,0.2727,11
single table multiple rows,4,0.9231,0.8000,0.8571,0.6364,0.6957,0.5333,0.6038,0.2727,11
single table multiple rows,5,0.9231,0.8000,0.8571,0.6364,0.6957,0.5333,0.6038,0.2727,11
