Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,1.0000,1.0000,1.0000,1.0000,0.8889,0.8889,0.8889,0.8750,8
single table single row,2,1.0000,0.8889,0.9412,0.8750,0.7500,0.6667,0.7059,0.7500,8
single table single row,3,1.0000,0.8889,0.9412,0.8750,0.8571,0.6667,0.7500,0.7500,8
single table single row,4,1.0000,0.8889,0.9412,0.8750,0.8571,0.6667,0.7500,0.7500,8
single table single row,5,1.0000,0.8889,0.9412,0.8750,0.8571,0.6667,0.7500,0.7500,8
two tables single join,1,0.2857,0.1667,0.2105,0.0833,0.0000,0.0000,0.0000,0.0000,12
two tables single join,2,0.3000,0.2500,0.2727,0.1667,0.0000,0.0000,0.0000,0.0000,12
two tables single join,3,0.3000,0.2500,0.2727,0.1667,0.0000,0.0000,0.0000,0.0000,12
two tables single join,4,0.2500,0.2500,0.2500,0.1667,0.0000,0.0000,0.0000,0.0000,12
two tables single join,5,0.3000,0.2500,0.2727,0.1667,0.0000,0.0000,0.0000,0.0000,12
three tables two join,1,0.2857,0.1429,0.1905,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.2857,0.1429,0.1905,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.2500,0.1429,0.1818,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,4,0.3333,0.1429,0.2000,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,5,0.1429,0.0714,0.0952,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.7931,0.6571,0.7188,0.1250,0.4828,0.4000,0.4375,0.0000,8
two tables single join multiple rows,2,0.6429,0.5143,0.5714,0.2500,0.1667,0.0857,0.1132,0.0000,8
two tables single join multiple rows,3,0.6774,0.6000,0.6364,0.2500,0.2273,0.1429,0.1754,0.0000,8
two tables single join multiple rows,4,0.5455,0.3429,0.4211,0.1250,0.2143,0.0857,0.1224,0.0000,8
two tables single join multiple rows,5,0.7826,0.5143,0.6207,0.1250,0.2667,0.1143,0.1600,0.0000,8
single table multiple rows,1,0.8929,0.8333,0.8621,0.6364,0.5385,0.4667,0.5000,0.0909,11
single table multiple rows,2,0.9565,0.7333,0.8302,0.3636,0.6842,0.4333,0.5306,0.0909,11
single table multiple rows,3,0.9600,0.8000,0.8727,0.4545,0.5263,0.3333,0.4082,0.0000,11
single table multiple rows,4,0.9524,0.6667,0.7843,0.2727,0.5000,0.2333,0.3182,0.0000,11
single table multiple rows,5,1.0000,0.8000,0.8889,0.5455,0.6842,0.4333,0.5306,0.1818,11
