Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,0.7500,0.6667,0.7059,0.6667,0.6250,0.5556,0.5882,0.5556,9
single table single row,2,0.7500,0.6667,0.7059,0.6667,0.6250,0.5556,0.5882,0.5556,9
single table single row,3,0.7500,0.6667,0.7059,0.6667,0.6250,0.5556,0.5882,0.5556,9
two tables single join,1,0.3750,0.2727,0.3158,0.3333,0.0000,0.0000,0.0000,0.0833,12
two tables single join,2,0.3750,0.2727,0.3158,0.3333,0.0000,0.0000,0.0000,0.0833,12
two tables single join,3,0.3750,0.2727,0.3158,0.3333,0.0000,0.0000,0.0000,0.0833,12
three tables two join,1,0.2000,0.0714,0.1053,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.1667,0.0714,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.1667,0.0714,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.8667,0.3714,0.5200,0.2500,0.6667,0.2857,0.4000,0.0000,8
two tables single join multiple rows,2,0.6667,0.4000,0.5000,0.2500,0.5556,0.2857,0.3774,0.0000,8
two tables single join multiple rows,3,0.7000,0.4000,0.5091,0.2500,0.5556,0.2857,0.3774,0.0000,8
single table multiple rows,1,1.0000,0.5000,0.6667,0.5000,1.0000,0.5000,0.6667,0.2000,10
single table multiple rows,2,1.0000,0.5000,0.6667,0.5000,1.0000,0.5000,0.6667,0.2000,10
single table multiple rows,3,1.0000,0.5000,0.6667,0.5000,1.0000,0.5000,0.6667,0.2000,10
