Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,0.8182,1.0000,0.9000,0.8889,0.7273,0.8889,0.8000,0.7778,9
single table single row,2,0.8182,1.0000,0.9000,0.8889,0.7273,0.8889,0.8000,0.7778,9
single table single row,3,0.8182,1.0000,0.9000,0.8889,0.7273,0.8889,0.8000,0.7778,9
two tables single join,1,0.4444,0.3636,0.4000,0.2500,0.0000,0.0000,0.0000,0.0000,12
two tables single join,2,0.2500,0.2727,0.2609,0.1667,0.0909,0.0909,0.0909,0.0833,12
two tables single join,3,0.3636,0.3636,0.3636,0.2500,0.2000,0.1818,0.1905,0.1667,12
three tables two join,1,0.2857,0.1429,0.1905,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.2500,0.1429,0.1818,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.2500,0.1429,0.1818,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.9286,0.7429,0.8254,0.3750,0.3571,0.2857,0.3175,0.0000,8
two tables single join multiple rows,2,0.9688,0.8857,0.9254,0.6250,0.3871,0.3429,0.3636,0.0000,8
two tables single join multiple rows,3,0.8056,0.8286,0.8169,0.5000,0.3611,0.3714,0.3662,0.0000,8
single table multiple rows,1,0.9200,0.8214,0.8679,0.7000,0.8800,0.7857,0.8302,0.3000,10
single table multiple rows,2,0.9200,0.8214,0.8679,0.7000,0.8800,0.7857,0.8302,0.3000,10
single table multiple rows,3,0.9200,0.8214,0.8679,0.7000,0.8800,0.7857,0.8302,0.3000,10
