Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,0.7500,0.6667,0.7059,0.6667,0.7143,0.5556,0.6250,0.5556,9
single table single row,2,0.7500,0.6667,0.7059,0.6667,0.8571,0.6667,0.7500,0.6667,9
single table single row,3,0.7500,0.6667,0.7059,0.6667,0.8571,0.6667,0.7500,0.6667,9
two tables single join,1,0.1429,0.0909,0.1111,0.1667,0.0000,0.0000,0.0000,0.0833,12
two tables single join,2,0.1111,0.0909,0.1000,0.0833,0.0000,0.0000,0.0000,0.0000,12
two tables single join,3,0.1111,0.0909,0.1000,0.0833,0.0000,0.0000,0.0000,0.0000,12
three tables two join,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.2381,0.2857,0.2597,0.1250,0.5714,0.1143,0.1905,0.0000,8
two tables single join multiple rows,2,1.0000,0.2857,0.4444,0.1250,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.9091,0.2857,0.4348,0.0000,0.0000,0.0000,0.0000,0.0000,8
single table multiple rows,1,0.1860,0.2857,0.2254,0.2000,0.6667,0.1429,0.2353,0.0000,10
single table multiple rows,2,1.0000,0.4286,0.6000,0.3000,0.5714,0.1429,0.2286,0.0000,10
single table multiple rows,3,1.0000,0.4286,0.6000,0.3000,0.5714,0.1429,0.2286,0.0000,10
