Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,0.1129,0.8000,0.1978,0.6444,0.5714,0.6222,0.5957,0.4667,45
two tables single join,0.0187,0.2545,0.0349,0.0833,0.0000,0.0000,0.0000,0.0000,60
three tables two join,0.0096,0.0857,0.0172,0.1000,0.0000,0.0000,0.0000,0.0000,50
two tables single join multiple rows,0.1837,0.2971,0.2271,0.1000,0.0000,0.0000,0.0000,0.0000,40
single table multiple rows,0.0591,0.3571,0.1014,0.3200,0.2903,0.1286,0.1782,0.0200,50
single table single row,0.1100,0.7556,0.1921,0.5778,0.5000,0.4444,0.4706,0.3111,45
two tables single join,0.0186,0.1818,0.0337,0.0833,0.0000,0.0000,0.0000,0.0000,60
three tables two join,0.0103,0.0857,0.0184,0.0800,0.0000,0.0000,0.0000,0.0000,50
two tables single join multiple rows,0.0677,0.2229,0.1039,0.0250,0.0122,0.0057,0.0078,0.0000,40
single table multiple rows,0.0448,0.2143,0.0742,0.1800,0.3208,0.1214,0.1762,0.0800,50
