Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,0.3636,0.4444,0.4000,0.3333,0.1765,0.3333,0.2308,0.2222,9
single table single row,2,0.5000,0.5556,0.5263,0.4444,0.1111,0.2222,0.1481,0.1111,9
single table single row,3,0.5000,0.5556,0.5263,0.4444,0.3333,0.5556,0.4167,0.4444,9
two tables single join,1,0.1429,0.1818,0.1600,0.1667,0.0000,0.0000,0.0000,0.0000,12
two tables single join,2,0.0833,0.0909,0.0870,0.0833,0.0000,0.0000,0.0000,0.0000,12
two tables single join,3,0.0833,0.0909,0.0870,0.0833,0.0000,0.0000,0.0000,0.0000,12
three tables two join,1,0.2222,0.1429,0.1739,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.2222,0.1429,0.1739,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.2222,0.1429,0.1739,0.0000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.7500,0.6000,0.6667,0.0000,0.2667,0.2286,0.2462,0.0000,8
two tables single join multiple rows,2,0.7600,0.5429,0.6333,0.0000,0.3158,0.1714,0.2222,0.0000,8
two tables single join multiple rows,3,0.6897,0.5714,0.6250,0.0000,0.2593,0.2000,0.2258,0.0000,8
single table multiple rows,1,0.7308,0.6786,0.7037,0.5000,0.7692,0.7143,0.7407,0.2000,10
single table multiple rows,2,0.8333,0.7143,0.7692,0.5000,0.7407,0.7143,0.7273,0.1000,10
single table multiple rows,3,0.9091,0.7143,0.8000,0.4000,0.7917,0.6786,0.7308,0.1000,10
