K,Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
10,single table single row,0.8182,1.0000,0.9000,0.8889,0.7273,0.8889,0.8000,0.7778,9
10,two tables single join,0.2500,0.3636,0.2963,0.2500,0.0714,0.0909,0.0800,0.0833,12
10,three tables two join,0.4444,0.2857,0.3478,0.2000,0.2222,0.1429,0.1739,0.1000,10
10,two tables single join multiple rows,0.9286,0.7429,0.8254,0.3750,0.3571,0.2857,0.3175,0.2500,8
10,single table multiple rows,1.0000,0.9286,0.9630,0.8000,0.8462,0.7857,0.8148,0.6000,10
11,single table single row,0.8182,1.0000,0.9000,0.8889,0.6364,0.7778,0.7000,0.6667,9
11,two tables single join,0.2353,0.3636,0.2857,0.2500,0.0667,0.0909,0.0769,0.0833,12
11,three tables two join,0.3333,0.2143,0.2609,0.1000,0.0000,0.0000,0.0000,0.0000,10
11,two tables single join multiple rows,0.9655,0.8000,0.8750,0.5000,0.3448,0.2857,0.3125,0.2500,8
11,single table multiple rows,1.0000,0.9286,0.9630,0.8000,0.9200,0.8214,0.8679,0.6000,10
12,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
12,two tables single join,0.2500,0.3636,0.2963,0.2500,0.0714,0.0909,0.0800,0.0833,12
12,three tables two join,0.3000,0.2143,0.2500,0.1000,0.0000,0.0000,0.0000,0.0000,10
12,two tables single join multiple rows,0.9667,0.8286,0.8923,0.5000,0.3333,0.2857,0.3077,0.2500,8
12,single table multiple rows,0.9630,0.9286,0.9455,0.8000,0.8077,0.7500,0.7778,0.5000,10
13,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
13,two tables single join,0.2353,0.3636,0.2857,0.2500,0.0667,0.0909,0.0769,0.0833,12
13,three tables two join,0.3000,0.2143,0.2500,0.1000,0.0000,0.0000,0.0000,0.0000,10
13,two tables single join multiple rows,0.9355,0.8286,0.8788,0.3750,0.3333,0.2857,0.3077,0.2500,8
13,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8846,0.8214,0.8519,0.6000,10
14,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
14,two tables single join,0.2941,0.4545,0.3571,0.3333,0.0667,0.0909,0.0769,0.0833,12
14,three tables two join,0.3636,0.2857,0.3200,0.1000,0.0000,0.0000,0.0000,0.0000,10
14,two tables single join multiple rows,0.9355,0.8286,0.8788,0.3750,0.3333,0.2857,0.3077,0.2500,8
14,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8077,0.7500,0.7778,0.5000,10
15,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
15,two tables single join,0.3333,0.5455,0.4138,0.4167,0.0625,0.0909,0.0741,0.0833,12
15,three tables two join,0.4167,0.3571,0.3846,0.2000,0.0000,0.0000,0.0000,0.0000,10
15,two tables single join multiple rows,0.9667,0.8286,0.8923,0.5000,0.3333,0.2857,0.3077,0.2500,8
15,single table multiple rows,1.0000,0.9286,0.9630,0.8000,0.8077,0.7500,0.7778,0.5000,10
16,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
16,two tables single join,0.3333,0.5455,0.4138,0.4167,0.0625,0.0909,0.0741,0.0833,12
16,three tables two join,0.4167,0.3571,0.3846,0.2000,0.0000,0.0000,0.0000,0.0000,10
16,two tables single join multiple rows,0.9375,0.8571,0.8955,0.3750,0.2812,0.2571,0.2687,0.1250,8
16,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8077,0.7500,0.7778,0.5000,10
17,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
17,two tables single join,0.3158,0.5455,0.4000,0.4167,0.0588,0.0909,0.0714,0.0833,12
17,three tables two join,0.3846,0.3571,0.3704,0.2000,0.0000,0.0000,0.0000,0.0000,10
17,two tables single join multiple rows,0.9333,0.8000,0.8615,0.2500,0.3000,0.2571,0.2769,0.1250,8
17,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.7308,0.6786,0.7037,0.4000,10
18,single table single row,0.8182,1.0000,0.9000,0.8889,0.8000,0.8889,0.8421,0.7778,9
18,two tables single join,0.5000,0.7273,0.5926,0.5000,0.1429,0.1818,0.1600,0.0833,12
18,three tables two join,0.3846,0.3571,0.3704,0.2000,0.0000,0.0000,0.0000,0.0000,10
18,two tables single join multiple rows,0.9412,0.9143,0.9275,0.5000,0.3030,0.2857,0.2941,0.2500,8
18,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8077,0.7500,0.7778,0.5000,10
19,single table single row,0.8182,1.0000,0.9000,0.8889,0.6000,0.6667,0.6316,0.5556,9
19,two tables single join,0.5625,0.8182,0.6667,0.5833,0.1429,0.1818,0.1600,0.0833,12
19,three tables two join,0.5385,0.5000,0.5185,0.4000,0.1538,0.1429,0.1481,0.1000,10
