Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1.0000,1.0000,1.0000,1.0000,7
two tables single join,0.9091,0.9091,0.9091,0.9091,11
unknown,0.5000,0.5000,0.5000,0.5000,4
three tables two join,0.9167,0.8462,0.8800,0.7778,9
two tables single join multiple rows,0.9697,0.9143,0.9412,0.8750,8
single table multiple rows,1.0000,1.0000,1.0000,1.0000,10
single table single row,1.0000,1.0000,1.0000,1.0000,7
two tables single join,0.9091,0.9091,0.9091,0.9091,11
unknown,0.5000,0.5000,0.5000,0.5000,4
three tables two join,0.9167,0.8462,0.8800,0.7778,9
two tables single join multiple rows,0.9697,0.9143,0.9412,0.8750,8
single table multiple rows,1.0000,1.0000,1.0000,1.0000,10
single table single row,1.0000,1.0000,1.0000,1.0000,7
two tables single join,0.9091,0.9091,0.9091,0.9091,11
unknown,0.5000,0.5000,0.5000,0.5000,4
three tables two join,0.9167,0.8462,0.8800,0.7778,9
two tables single join multiple rows,0.9697,0.9143,0.9412,0.8750,8
single table multiple rows,1.0000,1.0000,1.0000,1.0000,10
single table single row,1.0000,1.0000,1.0000,1.0000,9
two tables single join,0.8333,0.8333,0.8333,0.8333,12
three tables two join,0.8462,0.7857,0.8148,0.7000,10
two tables single join multiple rows,0.9697,0.9143,0.9412,0.8750,8
single table multiple rows,1.0000,1.0000,1.0000,1.0000,10
