K,Category,Precision,Recall,F1,Accuracy
10,Answer,0.6562,0.6495,0.6528,0.3878
10,Explanation,0.3125,0.2062,0.2484,0.2041
11,Answer,0.6706,0.5876,0.6264,0.3878
11,Explanation,0.2679,0.1546,0.1961,0.1429
12,Answer,0.7000,0.7216,0.7107,0.4490
12,Explanation,0.2838,0.2165,0.2456,0.1633
13,Answer,0.6421,0.6289,0.6354,0.2857
13,Explanation,0.2344,0.1546,0.1863,0.1020
14,Answer,0.6667,0.7010,0.6834,0.3469
14,Explanation,0.2955,0.2680,0.2811,0.1429
15,Answer,0.6667,0.6392,0.6526,0.3469
15,Explanation,0.2895,0.2268,0.2543,0.1224
16,Answer,0.7010,0.7010,0.7010,0.4490
16,Explanation,0.3636,0.2474,0.2945,0.1224
17,Answer,0.6667,0.6186,0.6417,0.2857
17,Explanation,0.3407,0.3196,0.3298,0.1224
18,Answer,0.6914,0.5773,0.6292,0.2449
18,Explanation,0.2970,0.3093,0.3030,0.1224
19,Answer,0.6857,0.4948,0.5749,0.2041
19,Explanation,0.2817,0.2062,0.2381,0.1020
20,Answer,0.7742,0.2474,0.3750,0.1837
20,Explanation,0.6538,0.1753,0.2764,0.1224
21,Answer,0.5429,0.1959,0.2879,0.1429
21,Explanation,0.5385,0.0722,0.1273,0.0612
22,Answer,0.0000,0.0000,0.0000,0.0204
22,Explanation,0.0741,0.0206,0.0323,0.0204
23,Answer,0.0000,0.0000,0.0000,0.0408
23,Explanation,0.0000,0.0000,0.0000,0.0408
24,Answer,0.0000,0.0000,0.0000,0.0204
24,Explanation,0.0000,0.0000,0.0000,0.0204
25,Answer,0.0000,0.0000,0.0000,0.0408
25,Explanation,0.0000,0.0000,0.0000,0.0408
26,Answer,0.0000,0.0000,0.0000,0.0408
26,Explanation,0.0000,0.0000,0.0000,0.0408
27,Answer,0.0000,0.0000,0.0000,0.0408
27,Explanation,0.0000,0.0000,0.0000,0.0408
28,Answer,0.0000,0.0000,0.0000,0.0408
28,Explanation,0.0000,0.0000,0.0000,0.0408
29,Answer,0.0000,0.0000,0.0000,0.0408
29,Explanation,0.0000,0.0000,0.0000,0.0408
30,Answer,0.0000,0.0000,0.0000,0.0408
30,Explanation,0.0000,0.0000,0.0000,0.0408
31,Answer,0.0000,0.0000,0.0000,0.0408
31,Explanation,0.0000,0.0000,0.0000,0.0408
32,Answer,0.0000,0.0000,0.0000,0.0408
32,Explanation,0.0000,0.0000,0.0000,0.0408
33,Answer,0.0000,0.0000,0.0000,0.0408
33,Explanation,0.0000,0.0000,0.0000,0.0408
34,Answer,0.0000,0.0000,0.0000,0.0408
34,Explanation,0.0000,0.0000,0.0000,0.0408
35,Answer,0.0000,0.0000,0.0000,0.0408
35,Explanation,0.0000,0.0000,0.0000,0.0408
36,Answer,0.0000,0.0000,0.0000,0.0408
36,Explanation,0.0000,0.0000,0.0000,0.0408
37,Answer,0.0000,0.0000,0.0000,0.0408
37,Explanation,0.0000,0.0000,0.0000,0.0408
38,Answer,0.0000,0.0000,0.0000,0.0408
38,Explanation,0.0000,0.0000,0.0000,0.0408
39,Answer,0.0000,0.0000,0.0000,0.0408
39,Explanation,0.0000,0.0000,0.0000,0.0408
40,Answer,0.0000,0.0000,0.0000,0.0408
40,Explanation,0.0000,0.0000,0.0000,0.0408
41,Answer,0.0000,0.0000,0.0000,0.0408
41,Explanation,0.0000,0.0000,0.0000,0.0408
42,Answer,0.0000,0.0000,0.0000,0.0408
42,Explanation,0.0000,0.0000,0.0000,0.0408
43,Answer,0.0000,0.0000,0.0000,0.0408
43,Explanation,0.0000,0.0000,0.0000,0.0408
44,Answer,0.0000,0.0000,0.0000,0.0408
44,Explanation,0.0000,0.0000,0.0000,0.0408
45,Answer,0.0000,0.0000,0.0000,0.0408
45,Explanation,0.0000,0.0000,0.0000,0.0408
46,Answer,0.0000,0.0000,0.0000,0.0408
46,Explanation,0.0000,0.0000,0.0000,0.0408
47,Answer,0.0000,0.0000,0.0000,0.0408
47,Explanation,0.0000,0.0000,0.0000,0.0408
48,Answer,0.0000,0.0000,0.0000,0.0408
48,Explanation,0.0000,0.0000,0.0000,0.0408
49,Answer,0.0000,0.0000,0.0000,0.0408
49,Explanation,0.0000,0.0000,0.0000,0.0408
50,Answer,0.0000,0.0000,0.0000,0.0408
50,Explanation,0.0000,0.0000,0.0000,0.0408
51,Answer,0.0000,0.0000,0.0000,0.0408
51,Explanation,0.0000,0.0000,0.0000,0.0408
52,Answer,0.0000,0.0000,0.0000,0.0408
52,Explanation,0.0000,0.0000,0.0000,0.0408
53,Answer,0.0000,0.0000,0.0000,0.0408
53,Explanation,0.0000,0.0000,0.0000,0.0408
54,Answer,0.0000,0.0000,0.0000,0.0408
54,Explanation,0.0000,0.0000,0.0000,0.0408
55,Answer,0.0000,0.0000,0.0000,0.0408
55,Explanation,0.0000,0.0000,0.0000,0.0408
56,Answer,0.0000,0.0000,0.0000,0.0408
56,Explanation,0.0000,0.0000,0.0000,0.0408
57,Answer,0.0000,0.0000,0.0000,0.0408
57,Explanation,0.0000,0.0000,0.0000,0.0408
58,Answer,0.0000,0.0000,0.0000,0.0408
58,Explanation,0.0000,0.0000,0.0000,0.0408
59,Answer,0.0000,0.0000,0.0000,0.0408
59,Explanation,0.0000,0.0000,0.0000,0.0408
60,Answer,0.0000,0.0000,0.0000,0.0408
60,Explanation,0.0000,0.0000,0.0000,0.0408
61,Answer,0.0000,0.0000,0.0000,0.0408
61,Explanation,0.0000,0.0000,0.0000,0.0408
62,Answer,0.0000,0.0000,0.0000,0.0408
62,Explanation,0.0000,0.0000,0.0000,0.0408
63,Answer,0.0000,0.0000,0.0000,0.0408
63,Explanation,0.0000,0.0000,0.0000,0.0408
64,Answer,0.0000,0.0000,0.0000,0.0408
64,Explanation,0.0000,0.0000,0.0000,0.0408
65,Answer,0.0000,0.0000,0.0000,0.0408
65,Explanation,0.0000,0.0000,0.0000,0.0408
66,Answer,0.0000,0.0000,0.0000,0.0408
66,Explanation,0.0000,0.0000,0.0000,0.0408
67,Answer,0.0000,0.0000,0.0000,0.0408
67,Explanation,0.0000,0.0000,0.0000,0.0408
68,Answer,0.0000,0.0000,0.0000,0.0408
68,Explanation,0.0000,0.0000,0.0000,0.0408
69,Answer,0.0000,0.0000,0.0000,0.0408
69,Explanation,0.0000,0.0000,0.0000,0.0408
