K,Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
10,single table single row,0.8182,1.0000,0.9000,0.8889,0.8000,0.8889,0.8421,0.7778,9
10,two tables single join,0.3077,0.3636,0.3333,0.2500,0.0000,0.0000,0.0000,0.0000,12
10,three tables two join,0.2143,0.2143,0.2143,0.1000,0.0000,0.0000,0.0000,0.0000,10
10,two tables single join multiple rows,0.7097,0.6286,0.6667,0.1250,0.2353,0.1143,0.1538,0.0000,8
10,single table multiple rows,0.9259,0.8929,0.9091,0.6000,0.5333,0.2857,0.3721,0.3000,10
11,single table single row,0.8182,1.0000,0.9000,0.8889,0.6667,0.6667,0.6667,0.6667,9
11,two tables single join,0.3333,0.3636,0.3478,0.2500,0.0000,0.0000,0.0000,0.0000,12
11,three tables two join,0.2222,0.1429,0.1739,0.1000,0.0000,0.0000,0.0000,0.0000,10
11,two tables single join multiple rows,0.6538,0.4857,0.5574,0.1250,0.3333,0.1143,0.1702,0.0000,8
11,single table multiple rows,0.9259,0.8929,0.9091,0.6000,0.3571,0.1786,0.2381,0.1000,10
12,single table single row,0.8000,0.8889,0.8421,0.7778,0.7500,0.6667,0.7059,0.6667,9
12,two tables single join,0.2857,0.3636,0.3200,0.2500,0.0000,0.0000,0.0000,0.0000,12
12,three tables two join,0.2500,0.2143,0.2308,0.1000,0.0000,0.0000,0.0000,0.0000,10
12,two tables single join multiple rows,0.8286,0.8286,0.8286,0.5000,0.1667,0.1143,0.1356,0.0000,8
12,single table multiple rows,0.8966,0.9286,0.9123,0.7000,0.6111,0.3929,0.4783,0.2000,10
13,single table single row,0.7500,0.6667,0.7059,0.5556,0.6667,0.4444,0.5333,0.4444,9
13,two tables single join,0.2727,0.2727,0.2727,0.1667,0.0000,0.0000,0.0000,0.0000,12
13,three tables two join,0.2727,0.2143,0.2400,0.1000,0.0000,0.0000,0.0000,0.0000,10
13,two tables single join multiple rows,0.7222,0.7429,0.7324,0.1250,0.0000,0.0000,0.0000,0.0000,8
13,single table multiple rows,0.7931,0.8214,0.8070,0.5000,0.5500,0.3929,0.4583,0.1000,10
14,single table single row,0.7778,0.7778,0.7778,0.6667,0.6250,0.5556,0.5882,0.5556,9
14,two tables single join,0.4545,0.4545,0.4545,0.3333,0.0000,0.0000,0.0000,0.0000,12
14,three tables two join,0.2500,0.2857,0.2667,0.0000,0.0000,0.0000,0.0000,0.0000,10
14,two tables single join multiple rows,0.7297,0.7714,0.7500,0.1250,0.1250,0.0857,0.1017,0.0000,8
14,single table multiple rows,0.8621,0.8929,0.8772,0.6000,0.6923,0.6429,0.6667,0.2000,10
15,single table single row,0.8000,0.8889,0.8421,0.7778,0.6250,0.5556,0.5882,0.5556,9
15,two tables single join,0.3636,0.3636,0.3636,0.2500,0.0000,0.0000,0.0000,0.0000,12
15,three tables two join,0.2727,0.2143,0.2400,0.1000,0.0000,0.0000,0.0000,0.0000,10
15,two tables single join multiple rows,0.7576,0.7143,0.7353,0.2500,0.2414,0.2000,0.2188,0.0000,8
15,single table multiple rows,0.7857,0.7857,0.7857,0.4000,0.5556,0.3571,0.4348,0.1000,10
16,single table single row,0.8182,1.0000,0.9000,0.8889,0.5556,0.5556,0.5556,0.5556,9
16,two tables single join,0.5455,0.5455,0.5455,0.4167,0.0000,0.0000,0.0000,0.0000,12
16,three tables two join,0.3636,0.2857,0.3200,0.2000,0.0000,0.0000,0.0000,0.0000,10
16,two tables single join multiple rows,0.7027,0.7429,0.7222,0.2500,0.3333,0.1429,0.2000,0.0000,8
16,single table multiple rows,0.8519,0.8214,0.8364,0.5000,0.6667,0.5000,0.5714,0.1000,10
17,single table single row,0.7143,0.5556,0.6250,0.5556,0.6667,0.4444,0.5333,0.4444,9
17,two tables single join,0.4167,0.4545,0.4348,0.3333,0.0000,0.0000,0.0000,0.0000,12
17,three tables two join,0.3333,0.2143,0.2609,0.1000,0.0000,0.0000,0.0000,0.0000,10
17,two tables single join multiple rows,0.7179,0.8000,0.7568,0.1250,0.1667,0.2000,0.1818,0.0000,8
17,single table multiple rows,0.8261,0.6786,0.7451,0.3000,0.9091,0.7143,0.8000,0.2000,10
18,single table single row,0.6667,0.4444,0.5333,0.4444,0.8000,0.4444,0.5714,0.4444,9
18,two tables single join,0.4000,0.3636,0.3810,0.2500,0.0000,0.0000,0.0000,0.0000,12
18,three tables two join,0.2222,0.1429,0.1739,0.1000,0.0000,0.0000,0.0000,0.0000,10
18,two tables single join multiple rows,0.8182,0.7714,0.7941,0.1250,0.2692,0.2000,0.2295,0.0000,8
18,single table multiple rows,0.8261,0.6786,0.7451,0.3000,0.8636,0.6786,0.7600,0.2000,10
19,single table single row,0.6667,0.4444,0.5333,0.4444,0.8000,0.4444,0.5714,0.4444,9
19,two tables single join,0.6000,0.2727,0.3750,0.1667,0.0000,0.0000,0.0000,0.0000,12
19,three tables two join,0.1667,0.0714,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000,10
19,two tables single join multiple rows,0.7000,0.6000,0.6462,0.0000,0.0000,0.0000,0.0000,0.0000,8
19,single table multiple rows,0.8261,0.6786,0.7451,0.3000,0.8889,0.5714,0.6957,0.1000,10
20,single table single row,0.6667,0.4444,0.5333,0.4444,0.8000,0.4444,0.5714,0.4444,9
20,two tables single join,1.0000,0.0909,0.1667,0.1667,0.0000,0.0000,0.0000,0.0833,12
20,three tables two join,0.5000,0.0714,0.1250,0.1000,0.0000,0.0000,0.0000,0.0000,10
20,two tables single join multiple rows,1.0000,0.0857,0.1579,0.0000,0.0000,0.0000,0.0000,0.0000,8
20,single table multiple rows,0.7895,0.5357,0.6383,0.2000,0.8667,0.4643,0.6047,0.1000,10
21,single table single row,0.6000,0.3333,0.4286,0.3333,0.5000,0.2222,0.3077,0.2222,9
21,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
21,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
21,two tables single join multiple rows,0.6154,0.2286,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,8
21,single table multiple rows,0.4706,0.2857,0.3556,0.3000,0.6250,0.1786,0.2778,0.0000,10
22,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
22,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
