Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,0.8824,0.3488,0.5000,0.6364,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1.0000,0.4688,0.6383,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join,0.8182,0.4500,0.5806,0.7000,0.0000,0.0000,0.0000,0.0000,10
single table single row,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0.7500,8
single table multiple rows,0.9310,0.5294,0.6750,0.4444,0.7143,0.2941,0.4167,0.2222,9
three tables two joins,0.8824,0.3488,0.5000,0.6364,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1.0000,0.4688,0.6383,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join,0.8182,0.4500,0.5806,0.7000,0.0000,0.0000,0.0000,0.0000,10
single table single row,0.7500,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0.7500,8
single table multiple rows,0.9310,0.5294,0.6750,0.4444,0.7143,0.2941,0.4167,0.2222,9
