Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,1,0.1333,0.0465,0.0690,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,0.1000,0.0233,0.0377,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,3,0.0909,0.0233,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.1111,0.1000,0.1053,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,2,0.2000,0.0500,0.0800,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,3,0.2000,0.0500,0.0800,0.1000,0.0000,0.0000,0.0000,0.0000,10
single table single row,1,0.5000,0.1250,0.2000,0.1250,0.5000,0.1250,0.2000,0.1250,8
single table single row,2,0.3333,0.1250,0.1818,0.1250,0.6667,0.2500,0.3636,0.2500,8
single table single row,3,0.5000,0.1250,0.2000,0.1250,0.6667,0.2500,0.3636,0.2500,8
single table multiple rows,1,0.6000,0.1765,0.2727,0.0000,0.6000,0.1765,0.2727,0.1111,9
single table multiple rows,2,0.5882,0.1961,0.2941,0.0000,0.6471,0.2157,0.3235,0.1111,9
single table multiple rows,3,0.6190,0.2549,0.3611,0.1111,0.3333,0.0980,0.1515,0.0000,9
