Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,1,0.6667,0.0465,0.0870,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,1.0000,0.0233,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,3,1.0000,0.0233,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,4,1.0000,0.0233,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,5,1.0000,0.0233,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.5000,0.0500,0.0909,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,2,0.5000,0.0500,0.0909,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,3,0.5000,0.0500,0.0909,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,4,0.5000,0.0500,0.0909,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,5,0.5000,0.0500,0.0909,0.1000,0.0000,0.0000,0.0000,0.0000,10
single table single row,1,1.0000,0.1250,0.2222,0.1250,1.0000,0.1250,0.2222,0.1250,8
single table single row,2,1.0000,0.1250,0.2222,0.1250,1.0000,0.1250,0.2222,0.1250,8
single table single row,3,1.0000,0.1250,0.2222,0.1250,1.0000,0.1250,0.2222,0.1250,8
single table single row,4,1.0000,0.1250,0.2222,0.1250,1.0000,0.1250,0.2222,0.1250,8
single table single row,5,1.0000,0.1250,0.2222,0.1250,1.0000,0.1250,0.2222,0.1250,8
single table multiple rows,1,1.0000,0.2157,0.3548,0.1111,1.0000,0.2157,0.3548,0.1111,9
single table multiple rows,2,0.8235,0.2745,0.4118,0.1111,0.8235,0.2745,0.4118,0.1111,9
single table multiple rows,3,0.9375,0.2941,0.4478,0.2222,0.9375,0.2941,0.4478,0.1111,9
single table multiple rows,4,0.7895,0.2941,0.4286,0.2222,0.7895,0.2941,0.4286,0.1111,9
single table multiple rows,5,1.0000,0.2941,0.4545,0.2222,1.0000,0.2941,0.4545,0.1111,9
