Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
three tables two joins,1,0.5000,0.0465,0.0851,0.0000,11
three tables two joins,2,0.5000,0.0233,0.0444,0.0000,11
three tables two joins,3,0.5000,0.0233,0.0444,0.0000,11
three tables two joins,4,0.5000,0.0233,0.0444,0.0000,11
three tables two joins,5,0.5000,0.0233,0.0444,0.0000,11
two tables single join multiple rows,1,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,5,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.5000,0.0500,0.0909,0.1000,10
two tables single join,2,0.0556,0.0500,0.0526,0.1000,10
two tables single join,3,0.2000,0.0500,0.0800,0.1000,10
two tables single join,4,0.2000,0.0500,0.0800,0.1000,10
two tables single join,5,0.2000,0.0500,0.0800,0.1000,10
single table single row,1,1.0000,0.1250,0.2222,0.1250,8
single table single row,2,1.0000,0.1250,0.2222,0.1250,8
single table single row,3,1.0000,0.1250,0.2222,0.1250,8
single table single row,4,1.0000,0.1250,0.2222,0.1250,8
single table single row,5,1.0000,0.1250,0.2222,0.1250,8
single table multiple rows,1,0.7333,0.2157,0.3333,0.1111,9
single table multiple rows,2,0.7778,0.2745,0.4058,0.1111,9
single table multiple rows,3,0.7368,0.2745,0.4000,0.1111,9
single table multiple rows,4,0.7368,0.2745,0.4000,0.1111,9
single table multiple rows,5,0.7368,0.2745,0.4000,0.1111,9
