K,Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
13,three tables two joins,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
13,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
13,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
13,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
13,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
14,three tables two joins,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
14,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
14,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
14,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
14,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
15,three tables two joins,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
15,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
15,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
15,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
15,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
16,three tables two joins,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
16,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
16,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
16,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
16,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
17,three tables two joins,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
17,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
17,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
17,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
17,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
