K,Category,Precision,Recall,F1,Accuracy
9,Answer,0.0000,0.0000,0.0000,0.0000
9,Explanation,0.0000,0.0000,0.0000,0.0000
10,Answer,0.0000,0.0000,0.0000,0.0000
10,Explanation,0.0000,0.0000,0.0000,0.0000
11,Answer,0.0000,0.0000,0.0000,0.0000
11,Explanation,0.0000,0.0000,0.0000,0.0000
12,Answer,0.0000,0.0000,0.0000,0.0000
12,Explanation,0.0000,0.0000,0.0000,0.0000
13,Answer,0.0000,0.0000,0.0000,0.0000
13,Explanation,0.0000,0.0000,0.0000,0.0000
14,Answer,0.0000,0.0000,0.0000,0.0000
14,Explanation,0.0000,0.0000,0.0000,0.0000
15,Answer,0.0000,0.0000,0.0000,0.0000
15,Explanation,0.0000,0.0000,0.0000,0.0000
16,Answer,0.0000,0.0000,0.0000,0.0000
16,Explanation,0.0000,0.0000,0.0000,0.0000
17,Answer,0.0000,0.0000,0.0000,0.0000
17,Explanation,0.0000,0.0000,0.0000,0.0000
18,Answer,0.0000,0.0000,0.0000,0.0000
18,Explanation,0.0000,0.0000,0.0000,0.0000
19,Answer,0.0000,0.0000,0.0000,0.0000
19,Explanation,0.0000,0.0000,0.0000,0.0000
