Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
three tables two joins,1,0.0556,0.0233,0.0328,0.0000,11
three tables two joins,2,0.1667,0.0233,0.0408,0.0000,11
three tables two joins,3,0.2000,0.0233,0.0417,0.0000,11
three tables two joins,4,0.2000,0.0233,0.0417,0.0000,11
three tables two joins,5,0.2000,0.0233,0.0417,0.0000,11
two tables single join multiple rows,1,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,5,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.4000,0.1000,0.1600,0.2000,10
two tables single join,2,0.2857,0.1000,0.1481,0.2000,10
two tables single join,3,0.2500,0.1000,0.1429,0.2000,10
two tables single join,4,0.2500,0.1000,0.1429,0.2000,10
two tables single join,5,0.2500,0.1000,0.1429,0.2000,10
single table single row,1,0.2000,0.1250,0.1538,0.1250,8
single table single row,2,0.4000,0.2500,0.3077,0.2500,8
single table single row,3,0.4000,0.2500,0.3077,0.2500,8
single table single row,4,0.4000,0.2500,0.3077,0.2500,8
single table single row,5,0.4000,0.2500,0.3077,0.2500,8
single table multiple rows,1,0.4286,0.1765,0.2500,0.0000,9
single table multiple rows,2,0.5000,0.2353,0.3200,0.1111,9
single table multiple rows,3,0.5652,0.2549,0.3514,0.1111,9
single table multiple rows,4,0.5652,0.2549,0.3514,0.1111,9
single table multiple rows,5,0.5652,0.2549,0.3514,0.1111,9
