Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,1,0.3333,0.0930,0.1455,0.3636,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,0.3077,0.0930,0.1429,0.3636,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,3,0.3077,0.0930,0.1429,0.3636,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,4,0.3333,0.0930,0.1455,0.3636,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,5,0.3333,0.0930,0.1455,0.3636,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,0.2000,0.0312,0.0541,0.0000,0.2000,0.0156,0.0290,0.0000,8
two tables single join multiple rows,2,0.1111,0.0312,0.0488,0.0000,0.1429,0.0312,0.0513,0.0000,8
two tables single join multiple rows,3,0.1538,0.0312,0.0519,0.0000,0.2222,0.0312,0.0548,0.0000,8
two tables single join multiple rows,4,0.1538,0.0312,0.0519,0.0000,0.2222,0.0312,0.0548,0.0000,8
two tables single join multiple rows,5,0.1538,0.0312,0.0519,0.0000,0.2222,0.0312,0.0548,0.0000,8
two tables single join,1,0.2778,0.2500,0.2632,0.5000,0.3333,0.0500,0.0870,0.1000,10
two tables single join,2,0.5556,0.2500,0.3448,0.5000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,3,0.5556,0.2500,0.3448,0.5000,0.2000,0.0500,0.0800,0.1000,10
two tables single join,4,0.5000,0.2500,0.3333,0.5000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,5,0.5455,0.3000,0.3871,0.5000,0.1111,0.0500,0.0690,0.1000,10
single table single row,1,0.7500,0.7500,0.7500,0.7500,1.0000,0.7500,0.8571,0.6250,8
single table single row,2,0.7500,0.7500,0.7500,0.7500,0.4286,0.3750,0.4000,0.3750,8
single table single row,3,0.7500,0.7500,0.7500,0.7500,0.4286,0.3750,0.4000,0.3750,8
single table single row,4,0.7500,0.7500,0.7500,0.7500,0.4286,0.3750,0.4000,0.3750,8
single table single row,5,0.7500,0.7500,0.7500,0.7500,0.4286,0.3750,0.4000,0.3750,8
single table multiple rows,1,0.5833,0.4118,0.4828,0.4444,0.9500,0.3725,0.5352,0.4444,9
single table multiple rows,2,0.6667,0.3922,0.4938,0.4444,0.9130,0.4118,0.5676,0.4444,9
single table multiple rows,3,0.6667,0.3922,0.4938,0.4444,0.9565,0.4314,0.5946,0.4444,9
single table multiple rows,4,0.6667,0.3922,0.4938,0.4444,0.9565,0.4314,0.5946,0.4444,9
single table multiple rows,5,0.6667,0.3922,0.4938,0.4444,0.9565,0.4314,0.5946,0.4444,9
