Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
three tables two joins,1,0.4706,0.1860,0.2667,0.3636,11
three tables two joins,2,0.8333,0.2326,0.3636,0.5455,11
three tables two joins,3,0.8000,0.1860,0.3019,0.4545,11
three tables two joins,4,0.5000,0.2093,0.2951,0.5455,11
three tables two joins,5,0.8000,0.1860,0.3019,0.4545,11
two tables single join multiple rows,1,0.9048,0.2969,0.4471,0.1250,8
two tables single join multiple rows,2,0.9000,0.2812,0.4286,0.0000,8
two tables single join multiple rows,3,0.8947,0.2656,0.4096,0.0000,8
two tables single join multiple rows,4,0.8947,0.2656,0.4096,0.0000,8
two tables single join multiple rows,5,0.8947,0.2656,0.4096,0.0000,8
two tables single join,1,0.7143,0.2500,0.3704,0.5000,10
two tables single join,2,0.6667,0.3000,0.4138,0.6000,10
two tables single join,3,0.6250,0.2500,0.3571,0.5000,10
two tables single join,4,0.6667,0.3000,0.4138,0.6000,10
two tables single join,5,0.6250,0.2500,0.3571,0.5000,10
single table single row,1,0.6667,0.2500,0.3636,0.2500,8
single table single row,2,0.6000,0.3750,0.4615,0.3750,8
single table single row,3,0.7143,0.6250,0.6667,0.6250,8
single table single row,4,0.7143,0.6250,0.6667,0.6250,8
single table single row,5,0.6667,0.5000,0.5714,0.5000,8
single table multiple rows,1,0.9565,0.4314,0.5946,0.3333,9
single table multiple rows,2,0.9600,0.4706,0.6316,0.3333,9
single table multiple rows,3,0.9600,0.4706,0.6316,0.3333,9
single table multiple rows,4,0.9600,0.4706,0.6316,0.3333,9
single table multiple rows,5,0.9600,0.4706,0.6316,0.3333,9
