Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,1,0.5455,0.1395,0.2222,0.2727,0.2857,0.0930,0.1404,0.0000,11
three tables two joins,2,0.4545,0.1163,0.1852,0.3636,0.0833,0.0233,0.0364,0.0000,11
three tables two joins,3,0.2222,0.0465,0.0769,0.1818,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,4,0.5000,0.1628,0.2456,0.3636,0.2667,0.0930,0.1379,0.0000,11
three tables two joins,5,0.3333,0.0698,0.1154,0.1818,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,0.5333,0.1250,0.2025,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.1250,0.0156,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.2500,0.0312,0.0556,0.0000,0.1250,0.0156,0.0278,0.0000,8
two tables single join multiple rows,4,0.2500,0.0312,0.0556,0.0000,0.1250,0.0156,0.0278,0.0000,8
two tables single join multiple rows,5,0.2500,0.0312,0.0556,0.0000,0.1250,0.0156,0.0278,0.0000,8
two tables single join,1,0.7143,0.2500,0.3704,0.5000,0.1429,0.0500,0.0741,0.1000,10
two tables single join,2,0.6250,0.2500,0.3571,0.5000,0.3750,0.1500,0.2143,0.3000,10
two tables single join,3,0.7143,0.2500,0.3704,0.5000,0.5000,0.2000,0.2857,0.4000,10
two tables single join,4,0.6250,0.2500,0.3571,0.5000,0.3333,0.1500,0.2069,0.3000,10
two tables single join,5,0.7143,0.2500,0.3704,0.5000,0.3750,0.1500,0.2143,0.3000,10
single table single row,1,0.6667,0.2500,0.3636,0.2500,0.8000,0.5000,0.6154,0.2500,8
single table single row,2,0.7143,0.6250,0.6667,0.6250,0.8571,0.7500,0.8000,0.6250,8
single table single row,3,0.7143,0.6250,0.6667,0.6250,0.7143,0.6250,0.6667,0.5000,8
single table single row,4,0.7143,0.6250,0.6667,0.6250,0.7143,0.6250,0.6667,0.5000,8
single table single row,5,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,0.6250,8
single table multiple rows,1,1.0000,0.3725,0.5429,0.3333,1.0000,0.2941,0.4545,0.2222,9
single table multiple rows,2,1.0000,0.3333,0.5000,0.2222,0.9000,0.1765,0.2951,0.1111,9
single table multiple rows,3,1.0000,0.4706,0.6400,0.4444,0.9545,0.4118,0.5753,0.4444,9
single table multiple rows,4,1.0000,0.3922,0.5634,0.2222,0.9375,0.2941,0.4478,0.2222,9
single table multiple rows,5,1.0000,0.3725,0.5429,0.2222,0.9333,0.2745,0.4242,0.2222,9
