Question,Iteration,Question Type,Answer Precision,Answer Recall,Answer F1,Exact Answer,Explanation Precision,Explanation Recall,Explanation F1,Exact Explanation
Which suppliers (s_name) belong to the region with r_name EUROPE and have a balance lower than 0?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the region with r_name EUROPE and have a balance lower than 0?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the region with r_name EUROPE and have a balance lower than 0?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the region with r_name EUROPE and have a balance lower than 0?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the region with r_name EUROPE and have a balance lower than 0?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which orders (o_orderkey) done by a customer with nationkey = 2 have a total price between 20500 and 20550?,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which orders (o_orderkey) done by a customer with nationkey = 2 have a total price between 20500 and 20550?,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which orders (o_orderkey) done by a customer with nationkey = 2 have a total price between 20500 and 20550?,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which orders (o_orderkey) done by a customer with nationkey = 2 have a total price between 20500 and 20550?,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which orders (o_orderkey) done by a customer with nationkey = 2 have a total price between 20500 and 20550?,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 91123 and 91130,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 91123 and 91130,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 91123 and 91130,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 91123 and 91130,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 91123 and 91130,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_type) have a size equal to 36 and are supplied by suppliers with a supply cost between 100 and 102?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_type) have a size equal to 36 and are supplied by suppliers with a supply cost between 100 and 102?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_type) have a size equal to 36 and are supplied by suppliers with a supply cost between 100 and 102?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_type) have a size equal to 36 and are supplied by suppliers with a supply cost between 100 and 102?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_type) have a size equal to 36 and are supplied by suppliers with a supply cost between 100 and 102?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 13156 and 13160?,1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 13156 and 13160?,2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 13156 and 13160?,3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 13156 and 13160?,4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 13156 and 13160?,5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customers (c_name) have placed orders with a total price between 91123 and 91600, and belong to the nation with nationkey = 1?",1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customers (c_name) have placed orders with a total price between 91123 and 91600, and belong to the nation with nationkey = 1?",2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customers (c_name) have placed orders with a total price between 91123 and 91600, and belong to the nation with nationkey = 1?",3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customers (c_name) have placed orders with a total price between 91123 and 91600, and belong to the nation with nationkey = 1?",4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customers (c_name) have placed orders with a total price between 91123 and 91600, and belong to the nation with nationkey = 1?",5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customer (c_custkey) have placed orders with a total price lower than 1000, belong to the nation with nationkey = 24, and have an order status of either 'P' or 'F'?",1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customer (c_custkey) have placed orders with a total price lower than 1000, belong to the nation with nationkey = 24, and have an order status of either 'P' or 'F'?",2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customer (c_custkey) have placed orders with a total price lower than 1000, belong to the nation with nationkey = 24, and have an order status of either 'P' or 'F'?",3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customer (c_custkey) have placed orders with a total price lower than 1000, belong to the nation with nationkey = 24, and have an order status of either 'P' or 'F'?",4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which customer (c_custkey) have placed orders with a total price lower than 1000, belong to the nation with nationkey = 24, and have an order status of either 'P' or 'F'?",5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which region (r_regionkey) does the nation 'GERMANY' belong to?,1,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
